gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
Clec10a,6,0,12,4,11,5,7,10,4
Clec11a,8,17,19,7,25,11,28,34,29
Clec12a,0,0,1,0,0,3,0,0,0
Clec12b,0,0,0,0,0,1,0,0,0
Clec14a,0,0,0,0,0,0,0,0,0
Clec16a,403,451,851,436,460,723,512,601,780
Clec18a,0,0,0,0,0,0,0,0,0
Clec1a,0,1,6,0,1,2,0,0,0
Clec1b,0,0,0,0,0,0,0,0,0
Clec2d,47,15,28,80,76,134,220,162,54
Clec2e,0,0,3,0,0,4,30,3,0
Clec2f,770,631,946,601,523,671,401,382,432
Clec2g,0,3,0,0,0,0,0,1,0
Clec2h,1,0,8,0,3,8,35,2,1
Clec2i,0,0,0,0,0,0,0,0,0
Clec2l,0,0,3,2,8,1,0,2,1
Clec3a,0,0,0,0,0,0,0,0,0
Clec3b,7,1,4,5,7,3,1,3,4
Clec4a1,0,0,0,0,0,0,0,0,0
Clec4a2,0,0,0,0,0,0,0,0,0
Clec4a3,0,0,0,0,0,0,0,0,0
Clec4a4,0,0,0,0,0,0,0,0,0
Clec4b1,0,0,0,0,0,0,0,0,0
Clec4b2,0,0,0,0,0,0,0,0,0
Clec4d,0,0,0,0,0,0,0,0,0
Clec4e,0,0,0,0,0,0,0,0,0
Clec4f,0,0,0,0,0,0,0,0,0
Clec4g,0,0,0,0,0,0,0,0,0
Clec4n,0,0,0,0,0,0,0,0,0
Clec5a,0,0,0,0,0,0,0,0,0
Clec7a,3,0,1,0,0,0,0,0,0
Clec9a,0,0,1,0,0,0,0,0,0
Clgn,0,0,0,0,0,0,0,0,0
Clhc1,3,2,1,4,1,3,2,1,3
Clic1,7719,6153,7107,6330,7446,7069,9396,10027,9875
Clic3,135,106,109,212,163,68,291,324,379
Clic4,8982,9840,8501,8430,10294,7594,6303,8585,8958
Clic5,249,157,353,127,224,338,364,453,290
Clic6,1,18,12,27,38,37,322,239,111
Clint1,4095,4426,4360,4156,5250,3949,4656,4914,5134
Clip1,3320,2900,5112,3729,2602,3379,1996,1804,2548
Clip2,412,296,694,923,955,1080,1184,916,970
Clip3,0,3,0,1,1,0,0,1,0
Clip4,2,23.999,64.001,2,52,34,27,82,129.001
Clk1,1336.001,1067,1395,1554.001,820.999,1312,1569,651,695
Clk2,601.222,595.794,604.495,674.717,657.811,573.466,604.727,588.728,534.901
Clk2-scamp3,440.385,461.899,512.066,371.009,613.601,432.044,504.978,365.717,440.229
Clk3,1970,2249,2317,2359,2690,2160,3180,2671,1714
Clk4,472,496,557,583,475,551,554,394,304
Clmn,547,189,452,769,720,821,1493,695,525
Clmp,220,232,138,134,123,55,51,51,60
Cln3,456,398,525,394,445,424,417,360,449
Cln5,672,627,565,551,702,470,541,480,639
Cln6,1147.592,1649.454,1080.145,1089,1218,1033.536,1705.078,1463,1528.02
Cln8,459,666,758,556,613,731,687,601,545
Clnk,2,2,5,0,1,0,0,0,0
Clns1a,4089,5056,4443,4212,5296,3515,3254,3691,3661
Clock,3027.001,2747,4895,3877,2887,3832,1886,1544.999,2243
Clp1,842,723,698,725,958,711,546,559,675
Clpb,1083,1554,1517,1338,1955,1593,2156,1603,1527
Clpp,1790,1839,2095,1516,2010,1773,1226,1478,1657
Clps,13,6,8,0,5,17,0,0,0
Clpsl2,0,0,0,0,0,0,0,0,0
Clptm1,4317,4555,5018,5310,5627,4301,3342,4102,5186
Clptm1l,5243,5814,5738,5272,6272,5215,5413,6278,6640
Clpx,1285,1340,1442,1251,1371,1358,1554,1487,1151
Clrn1,0,0,0,0,0,0,0,0,0
Clrn2,0,0,0,0,0,0,0,0,0
Clrn3,15,2,16,18,42,70,275,166,123
Clspn,1865,1629,1668,1978,1958,1504,906,1096,1437
Clstn1,3886,3482,5484,5492,4923,6785,3284,3165,2491
Clstn2,2,0,0,22,164,8,0,1,0
Clstn3,0,5,1,3,1,0,8,1,5
Clta,5767,6515,6364.999,5805,7623.999,6010,6322.001,6740,6460
Cltb,6303,7057,5888,4020,5454,4477,3860,4794,5132
Cltc,13365,12484,12876,14963,13103,10628,11886,9874,10368
Clu,1072,1191,977,1219,2796,559,1472,4432,9752
Cluap1,247,335,337,342,372,297,331,396,329
Cluh,6960,6906,7112,8519,9250,6134,4055,5483,8765
Clvs1,29.435,28.85,26.938,9.346,48.804,28.504,67.444,66.593,39.044
Clvs2,0,1,3,0,0,1,0,0,0
Clybl,143,181,270,211,327,335,782,562,204
Cma1,2594,355,703,251,385,498,385,254,115
